,freq,word
1397,11,champions
1398,1,2016/2017
1399,1,#ncaachampions?photos:
1400,1,https://t.co/ecl2phhzyl
1401,1,https://t.co/w8je24plwa
1402,61,we're
1403,22,safety
1404,7,streets
1405,68,destroy
1406,3,vile
1407,16,criminal
1408,2,cartel
1409,4,#ms13
1410,1,gangs...'hundreds
1411,9,arrested
1412,7,ms-13
1413,1,crackdown'https://t.co/mp268d8rau
1414,1,https://t.co/mrynwntuoo
1415,4,obstructionists
1416,7,understood
1417,81,power
1418,89,able
1419,39,ideas
1420,9,bill!
1421,4,stocks
1422,36,economy.
1423,21,we'll
1424,8,results!
1425,1,.and
1426,2,lecturing
1427,156,anyone
1428,79,listen
1429,3,harassment
1430,139,respect
1431,16,women.
1432,1,lesley
1433,1,stahl
1434,3,tape?
1435,47,al
1436,1,frankenstien
1437,40,picture
1438,52,speaks
1439,4,thousand
1440,27,words.
1441,275,where
1442,36,hands
1443,9,pictures
1444,177,2
1445,102,3
1446,174,4
1447,44,6
1448,1,sleeps?
1449,9,.....
1450,201,gop
1451,1,227-205.
1452,90,zero
1453,46,higher
1454,241,congratulations
1455,18,passing
1456,1,#taxcutsandjobsact
1457,18,?
1458,17,toward
1459,1,fulfilling
1460,23,promise
1461,25,deliver
1462,18,year!
1463,1,https://t.co/8fjefmj6hh
1464,21,un
1465,116,security
1466,25,council
1467,5,renew
1468,17,joint
1469,4,investigative
1470,1,mechanism
1471,73,syria
1472,7,ensure
1473,8,assad
1474,8,regime
1475,3,commit
1476,9,mass
1477,12,murder
1478,6,chemical
1479,25,weapons
1480,129,again.
1481,43,sending
1482,106,move
1483,7,happens!
1484,1,....your
1485,67,release
1486,43,possible
1487,35,careful
1488,1,pitfalls
1489,2,winding
1490,19,road
1491,2,ucla
1492,3,say:
1493,392,you're
1494,82,welcome
1495,1,made.....
1496,247,tomorrow
1497,11,close!
1498,78,fighting
1499,352,business
1500,1,(jobs)?
1501,1,reason:
1502,5,obstruction
1503,2,delay!
1504,115,actually
1505,3,naive
1506,3,dumb)
1507,87,comes
1508,93,foreign
1509,1,policy...weak
1510,1,ineffective!
1511,4,...they
1512,3,relationships
1513,431,watch
1514,4,trade!
1515,20,hates
1516,104,fact
1517,4,developed
1518,17,relationship
1519,131,leaders
1520,1,china.....
1521,29,trump?
1522,14,headed
1523,1,https://t.co/eqmwv1xbim
1524,35,hard!
1525,1,https://t.co/tmndnpbj3m
1526,10,philippines
1527,28,forced
1528,226,@cnn
1529,50,months
1530,255,again
1531,9,realized
1532,52,is.
1533,32,loser!
1534,30,showing
1535,11,asia
1536,1,friendships
1537,12,benefits
1538,1,endure
1539,4,come!
1540,1,asia.
1541,1,fruits
1542,1,20295
1543,9,miles
1544,21,later
1545,2,#potusinasia
1546,6,successfully
1547,1,concluded
1548,4,lands
1549,143,south
1550,3,lawn
1551,1,@whitehouse?
1552,103,@realdonaldtrump:
1553,3,4.1%
1554,5,1.5
1555,46,created
1556,49,office.
1557,1,mark?
1558,2,@pchowka:
1559,15,sean
1560,2,hannity's
1561,1,probing
1562,37,reporting
1563,4,thinker
1564,1,https://t.co/b0rxpzd3lb
1565,4,h?
1566,3,military/veterans
1567,2,@pacificcommand.remember
1568,2,#pearlharbor.
1569,2,@ussarizona!a
1570,2,day?
1571,42,12
1572,14,days.
1573,9,home!
1574,2,sutherland
1575,6,springs
1576,13,texas.
1577,89,law
1578,33,enforcement
1579,1,arrived.
1580,1,asia!
1581,22,#usa??
1582,1,https://t.co/fziksbrzcu
1583,379,amazing
1584,38,staff
1585,13,embassy
1586,3,philippines.
1587,53,work!
1588,1,https://t.co/3abvxtsjm0
1589,9,accurate
1590,15,around.
1591,13,#fakenews
1592,15,we?re
1593,1,30?s.
1594,27,wrong.
1595,1,50's.
1596,1,https://t.co/yhrwkdobhp
1597,74,statement
1598,12,upon
1599,41,return
1600,13,date
1601,1,set.
1602,38,arrived
1603,1,#asean50
1604,21,leaders.
1605,129,lead
1606,69,fair
1607,134,trade
1608,29,unlike
1609,118,shows
1610,69,past
1611,1,administrations.
1612,375,made
1613,9,friends!
1614,30,tour
1615,70,countries
1616,22,rules
1617,2,changed.
1618,40,treated
1619,5,fairly
1620,1,reciprocal
1621,1,fashion.
1622,15,deficits
1623,3,quickly!
1624,8,@randpaul
1625,1,floor.
1626,2,reform!
1627,1,cuts!#makeamericagreatagain??
1628,683,am
1629,168,proud
1630,11,rep.
1631,27,cutting
1632,1,{&amp;
1633,1,reform.}
1634,15,ending
1635,25,unfair
1636,3,unpopular
1637,2,indiv
1638,6,mandate
1639,9,ocare
